City_ID,City,Country,Latitude,Longitude,Max Temperature,Humidity (%),Cloudiness,Wind Speed,Datetime (Local)
0,stuttgart,DE,48.7823,9.177,3.14,87,0,1.54,1681954478
1,port blair,IN,11.6667,92.75,29.66,63,53,2.89,1681954478
2,ushuaia,AR,-54.8,-68.3,4.81,75,20,10.8,1681954358
3,hamilton,US,39.1834,-84.5333,22.35,49,0,3.09,1681954214
4,kharan,PK,28.5833,65.4167,18.9,15,0,1.89,1681954479
5,thompson,CA,55.7435,-97.8558,-0.91,55,75,5.14,1681954324
6,whitehorse,CA,60.7161,-135.0538,6.68,52,75,0,1681954342
7,qamdo,CN,31.1667,97.2333,4.53,48,49,2.37,1681954200
8,yushu,CN,44.8,126.5333,10.24,9,91,13.07,1681954480
9,cerritos,US,33.8583,-118.0648,21.61,44,20,5.66,1681954313
10,kununurra,AU,-15.7667,128.7333,27.99,39,1,7.72,1681954480
11,codrington,AU,-38.2667,141.9667,16.07,72,92,4.65,1681954077
12,edinburgh of the seven seas,SH,-37.0676,-12.3116,18.35,86,100,12.78,1681954481
13,vadso,NO,70.0744,29.7487,4.49,87,100,1.54,1681954437
14,canutama,BR,-6.5339,-64.3831,24.53,90,60,1.3,1681954481
15,grytviken,GS,-54.2811,-36.5092,3.35,92,100,2.78,1681954300
16,waitangi,NZ,-43.9535,-176.5597,17.68,89,95,4.02,1681954297
17,pisco,PE,-13.7,-76.2167,21.68,88,0,6.17,1681954365
18,eastham,US,41.8301,-69.9739,8.88,65,5,3.13,1681954336
19,remire-montjoly,GF,4.9167,-52.2667,24.02,100,75,2.57,1681954482
20,blackmans bay,AU,-43.0167,147.3167,15.07,78,100,3.06,1681954482
21,morehead city,US,34.7229,-76.726,22,85,0,2.24,1681954483
22,albany,US,42.6001,-73.9662,3.52,72,91,3.4,1681954201
23,vingt cinq,,,,,,,,
24,college,US,64.8569,-147.8028,5.18,47,20,3.09,1681954300
25,tiksi,RU,71.6872,128.8694,-18.99,98,100,2.24,1681954293
26,geraldton,AU,-28.7667,114.6,23.23,31,0,8.75,1681954056
27,bestobe,KZ,52.4994,73.0975,-1.26,67,5,1.99,1681954484
28,port-aux-francais,TF,-49.35,70.2167,4.97,67,14,15.6,1681954295
29,aksu,CN,41.1231,80.2644,9.12,59,100,3.67,1681954484
30,haiku-pauwela,US,20.9219,-156.3051,25.65,88,75,4.12,1681954308
31,wailua homesteads,US,22.0669,-159.378,27.14,67,40,7.2,1681954309
32,puerto natales,CL,-51.7236,-72.4875,7.94,73,69,7.72,1681954328
33,tevriz,RU,57.509,72.4042,-0.36,50,10,2.86,1681954485
34,sibut,CF,5.718,19.0739,24.46,67,98,0.74,1681954485
35,port elizabeth,ZA,-33.918,25.5701,18.51,85,0,2.57,1681954485
36,invercargill,NZ,-46.4,168.35,16.57,62,81,1.5,1681954325
37,dunedin,NZ,-45.8742,170.5036,15.45,78,85,1.73,1681954226
38,atafu village,TK,-8.5421,-172.5159,28.49,70,99,1.73,1681954432
39,ranau,MY,5.9538,116.6641,29.63,60,9,0.96,1681954486
40,fort bragg,US,35.139,-79.006,22.75,48,0,2.06,1681954486
41,bethel,US,41.3712,-73.414,9.41,66,0,0,1681954310
42,nar'yan-mar,RU,67.6713,53.087,0.41,96,100,5.39,1681954487
